0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:08 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:12 +0900] "GET /manager/notice_list HTTP/1.1" 200 30897
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:12 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:12 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:12 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:12 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:25 +0900] "GET /manager/draft/list HTTP/1.1" 200 42573
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:25 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:25 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:25 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:25 +0900] "POST /noticePointList HTTP/1.1" 200 45529
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:16:46 +0900] "GET /manager/draft/detail?draft_no=200733&name=%EC%9D%B4%EB%88%84%EB%A6%AC HTTP/1.1" 200 6590
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:17:17 +0900] "GET /manager/consult/list HTTP/1.1" 200 37038
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:17:18 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:17:18 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:17:18 +0900] "GET /resources/css/fonts/glyphicons-halflings-regular.ttf HTTP/1.1" 404 2364
0:0:0:0:0:0:0:1 - - [11/Jul/2020:15:17:18 +0900] "POST /noticePointList HTTP/1.1" 200 45529
